Lat,Lon,Time,Line,Brigade
52.196636,20.920502,2024-02-23 16:23:53,401,2
52.196166,20.922395,2024-02-23 22:02:57,713,3
52.196593,20.920381,2024-02-23 18:50:39,188,013
52.239697,20.93853,2024-02-23 23:33:24,523,10
52.2015986,20.9363952,2024-02-23 23:33:26,517,4
52.218356,20.896411,2024-02-23 23:33:13,105,7
52.196204,20.922238,2024-02-23 20:59:05,177,08
52.2014636,20.9836132,2024-02-23 23:33:25,172,5
52.2679326,21.0781161,2024-02-23 11:30:51,L51,02
52.0987515,21.2688133,2024-02-23 23:33:23,L20,1
52.1099773,21.2769918,2024-02-23 23:33:26,L22,2
52.2014568,21.4026738,2024-02-23 18:43:43,L22,1
52.0828521,21.244767,2024-02-23 23:28:09,L51,1
52.0827981,21.244521,2024-02-23 17:53:33,L22,03
52.2645566,21.0475983,2024-02-23 19:30:07,527,013
52.347851,21.1254613,2024-02-23 23:33:20,738,1
52.2935438,21.0417981,2024-02-23 23:33:20,500,1
52.2644841,21.0480988,2024-02-23 22:04:55,414,09
52.2902855,21.0030546,2024-02-23 23:33:23,132,2
52.265656,21.044323,2024-02-23 21:03:50,199,05
52.264394,21.0484003,2024-02-23 17:29:55,120,09
52.3028715,21.059205,2024-02-23 23:33:23,120,4
52.2643198,21.0484393,2024-02-23 23:33:25,509,022
52.2655723,21.0437218,2024-02-23 23:14:20,527,515
52.2236653,21.0241086,2024-02-23 23:33:21,116,14
52.2644608,21.0479256,2024-02-23 23:33:25,132,1
52.2646033,21.047973,2024-02-23 23:33:21,145,6
52.2633216,21.0474433,2024-02-23 23:33:24,509,2
52.265217,21.045687,2024-02-23 20:35:54,190,016
52.2649405,21.0466428,2024-02-23 18:46:02,145,015
52.3015608,20.9911838,2024-02-23 23:33:21,731,499
52.264906,21.0470566,2024-02-23 19:46:08,245,05
52.2859511,21.049481,2024-02-23 23:33:23,512,3
52.2653213,21.045365,2024-02-23 22:32:35,731,477
52.2907108,21.0024983,2024-02-23 23:33:25,511,3
52.2649455,21.0467178,2024-02-23 23:33:24,190,12
52.2647006,21.0476741,2024-02-23 11:22:19,140,06
52.2633068,21.047309,2024-02-23 23:18:12,190,5
52.2650975,21.0460661,2024-02-23 19:29:47,132,06
52.264884,21.047293,2024-02-23 21:12:19,414,07
